,LONGITUD,LATITUD,ALC_mg/L,CONDUCT_mS/cm,SDT_M_mg/L,FLUORUROS_mg/L,DUR_mg/L,COLI_FEC_NMP/100_mL,N_NO3_mg/L,AS_TOT_mg/L,CD_TOT_mg/L,CR_TOT_mg/L,HG_TOT_mg/L,PB_TOT_mg/L,MN_TOT_mg/L,indice_calidad_agua,distancia_vecino_cercano,ratio_conduct_dureza,ratio_alc_dureza
PC1,0.054913462005880834,0.04396036893680797,0.22956512861042908,0.4165013371076307,0.42582111190961225,-0.19872553818347669,0.5122060901355266,0.0882465272111749,0.22658971641687328,-0.14858546602875264,0.028353748373922696,0.00675238177761956,0.06632643465284715,0.004505935969049219,0.09567918602047175,0.10214937383327524,-0.012498007923614716,-0.266667622110939,-0.3292022279079587
PC2,-0.19801252885459433,0.2353976590953537,0.16621606420243135,0.24715440888624124,0.24195913529057878,0.3744731483023606,-0.02974477193843827,0.1450561469068728,0.14616041908992516,0.35071507728121193,-0.010350140580334396,-0.03128308093516463,-0.003007718225746642,0.0028071762316818952,0.041155812402044044,0.47039306229751704,0.015498141601897943,0.36031077598539196,0.312204101778822
PC3,0.5581365992663171,-0.5295885823097448,0.3239931782780202,0.16527299051184488,0.10260886243817208,0.017972507034854427,0.02533800254645997,-0.15163537080300693,-0.22650290378491583,0.0970259549394044,0.07508945204459586,0.1006710112793591,0.15315448054504194,0.04180592715380573,0.11181497595258647,-0.06422883438526052,-0.08518769384157682,0.24589855117908316,0.23494713569719486
PC4,-0.18078927900306646,0.009665097508845701,-0.014906493619791563,-0.11382474845929792,-0.1176965407162245,-0.09725113207153516,-0.052756964918579924,0.1998726174994732,-0.18626434949551157,0.043818042768915204,-0.06597138189584603,-0.0395689570650413,0.5716129167670942,0.03377218627662304,0.7022335927372095,0.10922294075477439,-0.06891899413709476,-0.07866977997083797,-0.039827797916407996
PC5,0.170635757032282,-0.30902913809871385,-0.15243721851475872,-0.09861647201933324,-0.13253949055095213,-0.12204226098652747,-0.04206499587881408,0.6313255479890436,0.17878581386363537,0.07402044429782047,0.003672647295290264,-0.028510955742358065,-0.174576747189794,0.37425544804430166,-0.11290726519529164,0.28992935279315185,-0.31102780993926077,-0.05624802556918957,-0.06400404801378698
PC6,0.11109823466277736,-0.13399856134090996,-0.2320569008702754,-0.07142738993867387,-0.04345611803859711,0.13724448957243718,-0.012767641537618167,-0.14553591859649148,0.34226857235679425,0.1804321057535672,-0.20652040789056458,0.5180570673953874,0.20305195974842066,-0.4799320816117904,-0.06037424397603745,0.17195352966465913,-0.27070158558378693,-0.11668229120077833,-0.12756054740670958
PC7,0.17889432045842704,-0.14314216899664037,-0.10615007510492568,-0.05654799651145988,-0.05201469729730199,0.0513580214679652,0.028263688647474687,0.3078700504863705,-0.127417335495652,0.13566675266013545,0.3808736041159423,-0.06445796058818705,-0.11180273282165626,-0.4723271817092486,0.06287082715693933,0.18632119241663567,0.5908814932020546,-0.12010655974754506,-0.10211660914119806
PC8,0.028616485371676822,0.00978273648336963,-0.03627156490472892,0.05198774347620074,0.02626439579905793,0.012194156477383646,0.02872881759658089,0.14536110829461946,-0.16183668066540427,-0.045707760073974486,-0.52216779276963,0.5354426740507061,-0.0547520531128137,0.31473613447333065,0.006561155684507979,0.0020165350991270597,0.5301984580776645,0.03270995460232466,-0.018731678413407154
PC9,-0.13914107089604924,0.08050163751879914,-0.09875830171696097,0.015013179619921583,0.020191477864450084,-0.000635444887990266,-0.036922116399418135,-0.07906928751423632,0.051354131055682165,-0.03820848688838361,0.7260480531114704,0.5440290818343673,0.11571573337413255,0.3355800650268326,0.0008616456130081277,-0.02763415246405684,0.008332603717578272,0.04555185217645956,-0.005822427706287586
PC10,0.16422841725496035,-0.13383570293203187,-0.2523690343614195,-0.015689059664424833,-0.020169504055055017,0.11192566643644558,-0.03265697349996266,-0.26063514026742407,0.43679559361441117,0.06595826255808769,-0.012469699699420578,-0.3461206059410747,0.4558179057834554,0.33008839284658253,-0.15499920126911398,0.07714469698912621,0.375448194843255,0.004296121443896206,-0.0804326836319889
PC11,0.0386979550884348,0.010963874089633601,-0.08082408821692849,-0.00746750261276375,-0.02720845487834151,0.10760767835749158,0.09007780618146108,-0.36035992634170005,-0.2830743521937539,0.6122728767655946,-0.0006374655346573548,-0.052797100104847866,-0.2901989756676377,0.25969543940840584,0.15710339326652453,0.12994967004687166,-0.07709078503780577,-0.268351050550617,-0.3354445185341871
PC12,-0.0014781504455259773,0.013982967259909024,0.683507624290152,-0.29617214552703,-0.2646727276400684,0.4042112207409394,-0.014189622809081185,0.020560911115733948,0.11419677411672927,-0.1100108812029117,0.026082802952787545,0.056788428267604836,0.06711697554446434,0.08682424605567854,-0.10091619313687808,0.09453431878964973,0.0465868198150587,-0.38269017587420384,-0.04477306997400296
